hour_index,gpu_HP,gpu_Spot,cpu_HP,cpu_Spot,gpu_total,cpu_total
0,4623.3853,0.0,141942.8736,0.0,4623.3853,141942.8736
1,4699.2397,4.98,142633.1275,69.72,4704.2197,142702.8475
2,4703.9894,0.5667,142586.8158,7.9333,4704.5561,142594.7492
3,4709.315,0.0,142611.1683,0.0,4709.315,142611.1683
4,4741.4339,0.0,142859.9075,0.0,4741.4339,142859.9075
5,4789.2444,0.0,143278.3811,0.0,4789.2444,143278.3811
6,4861.6036,0.0,144684.0206,0.0,4861.6036,144684.0206
7,4927.4469,0.0,145720.4567,0.0,4927.4469,145720.4567
8,4998.2994,0.0,146322.0264,0.0,4998.2994,146322.0264
9,5074.1744,0.0,147223.2081,0.0,5074.1744,147223.2081
10,5224.3775,0.0,148589.065,0.0,5224.3775,148589.065
11,5317.0431,0.0,150352.3656,0.0,5317.0431,150352.3656
12,5382.6003,0.0,151617.4892,0.0,5382.6003,151617.4892
13,5381.8394,0.0,151611.57,0.0,5381.8394,151611.57
14,5448.7936,0.0,152468.4778,0.0,5448.7936,152468.4778
15,5497.8494,0.0,153620.8089,0.0,5497.8494,153620.8089
16,5542.7594,0.0,154104.4158,0.0,5542.7594,154104.4158
17,5615.7764,0.0,155496.2375,0.0,5615.7764,155496.2375
18,5648.7378,0.0,156324.8683,0.0,5648.7378,156324.8683
19,5648.7475,0.0,156258.7692,0.0,5648.7475,156258.7692
20,5694.3256,0.0,157381.0481,0.0,5694.3256,157381.0481
21,5737.8406,0.0,158044.2997,0.0,5737.8406,158044.2997
22,5783.2053,0.0,158655.3225,0.0,5783.2053,158655.3225
23,5829.5541,0.0,159225.6739,0.0,5829.5541,159225.6739
24,5459.2419,0.0,151376.0294,0.0,5459.2419,151376.0294
25,5450.1083,0.0,151399.8386,0.0,5450.1083,151399.8386
26,5480.6919,0.0,151610.7639,0.0,5480.6919,151610.7639
27,5514.3536,0.0,151863.9167,0.0,5514.3536,151863.9167
28,5538.7503,0.0,152115.3161,0.0,5538.7503,152115.3161
29,5562.2831,0.0,152506.6442,0.0,5562.2831,152506.6442
30,5583.5314,0.0,153104.3267,0.0,5583.5314,153104.3267
31,5626.3039,0.0,153525.9883,0.0,5626.3039,153525.9883
32,5689.3583,0.0,154105.3992,0.0,5689.3583,154105.3992
33,5784.3158,0.0,155268.6397,0.0,5784.3158,155268.6397
34,5825.8864,0.0,155678.9573,0.0,5825.8864,155678.9573
35,5897.5237,0.0,156714.5661,0.0,5897.5237,156714.5661
